daily_pnl,date,cum_daily_pnl
-129.3657641,16-06-2020 05:30,3761.895236
-129.4678295,17-06-2020 05:30,3761.793171
-124.9306175,18-06-2020 05:30,3766.330382
-100.7072742,19-06-2020 05:30,3790.553726
-80.46599807,22-06-2020 05:30,3810.795002
-39.02877361,23-06-2020 05:30,3852.232226
-65.57750175,24-06-2020 05:30,3825.683498
-40.71661545,25-06-2020 05:30,3850.544385
-43.99628585,26-06-2020 05:30,3847.264714
-46.68293119,29-06-2020 05:30,3844.578069
0,30-06-2020 05:30,3844.578
-2.460747628,01-07-2020 05:30,3842.117252
4.776212463,02-07-2020 05:30,3849.354212
23.50377347,03-07-2020 05:30,3868.081773
21.86274143,06-07-2020 05:30,3866.440741
19.70172773,07-07-2020 05:30,3864.279728
5.862216624,08-07-2020 05:30,3850.440217
31.53262075,09-07-2020 05:30,3876.110621
32.32577528,10-07-2020 05:30,3876.903775
40.82208239,13-07-2020 05:30,3885.400082
33.18590873,14-07-2020 05:30,3877.763909
40.35438929,15-07-2020 05:30,3884.932389
52.17570122,16-07-2020 05:30,3896.753701
84.58325363,17-07-2020 05:30,3929.161254
94.55225059,20-07-2020 05:30,3939.130251
87.80100281,21-07-2020 05:30,3932.379003
96.76927553,22-07-2020 05:30,3941.347276
123.040904,23-07-2020 05:30,3967.618904
124.8433524,24-07-2020 05:30,3969.421352
109.1900088,27-07-2020 05:30,3953.768009
105.3027606,28-07-2020 05:30,3949.880761
105.9519459,29-07-2020 05:30,3950.529946
124.4229442,30-07-2020 05:30,3969.000944
148.0712343,31-07-2020 05:30,3992.649234
159.2693151,03-08-2020 05:30,4003.847315
190.6147746,04-08-2020 05:30,4035.192775
232.7310396,05-08-2020 05:30,4077.30904
279.3774995,06-08-2020 05:30,4123.9555
306.5584111,07-08-2020 05:30,4151.136411
344.5864582,10-08-2020 05:30,4189.164458
318.2382725,11-08-2020 05:30,4162.816273
334.6199762,12-08-2020 05:30,4179.197976
354.097811,13-08-2020 05:30,4198.675811
307.898196,14-08-2020 05:30,4152.476196
316.172623,17-08-2020 05:30,4160.750623
341.0309578,18-08-2020 05:30,4185.608958
353.4510243,19-08-2020 05:30,4198.029024
390.5929272,20-08-2020 05:30,4235.170927
426.3552868,21-08-2020 05:30,4270.933287
470.1109822,24-08-2020 05:30,4314.688982
447.53813,25-08-2020 05:30,4292.11613
415.8359093,26-08-2020 05:30,4260.413909
420.4463343,27-08-2020 05:30,4265.024334
416.2394376,28-08-2020 05:30,4260.817438
319.6946553,31-08-2020 05:30,4164.272655
342.7447897,01-09-2020 05:30,4187.32279
391.7222706,02-09-2020 05:30,4236.300271
411.6473047,03-09-2020 05:30,4256.225305
379.5595259,04-09-2020 05:30,4224.137526
381.7338818,07-09-2020 05:30,4226.311882
344.8841772,08-09-2020 05:30,4189.462177
359.9853616,09-09-2020 05:30,4204.563362
368.1327974,10-09-2020 05:30,4212.710797
377.1322322,11-09-2020 05:30,4221.710232
416.9582522,14-09-2020 05:30,4261.536252
446.4159089,15-09-2020 05:30,4290.993909
471.2524071,16-09-2020 05:30,4315.830407
490.9879929,17-09-2020 05:30,4335.565993
534.6908417,18-09-2020 05:30,4379.268842
440.5504053,21-09-2020 05:30,4285.128405
412.9828481,22-09-2020 05:30,4257.560848
396.6915297,23-09-2020 05:30,4241.26953
353.5740173,24-09-2020 05:30,4198.152017
417.9879825,25-09-2020 05:30,4262.565982
491.6148421,28-09-2020 05:30,4336.192842
465.4110676,29-09-2020 05:30,4309.989068
482.0090115,30-09-2020 05:30,4326.587012
506.5871933,01-10-2020 05:30,4351.165193
508.7392101,05-10-2020 05:30,4353.31721
521.9935254,06-10-2020 05:30,4366.571525
535.3508832,07-10-2020 05:30,4379.928883
562.3714445,08-10-2020 05:30,4406.949445
527.2409559,09-10-2020 05:30,4371.818956
496.3801962,12-10-2020 05:30,4340.958196
466.9320511,13-10-2020 05:30,4311.510051
472.8088168,14-10-2020 05:30,4317.386817
437.3238389,15-10-2020 05:30,4281.901839
451.8757893,16-10-2020 05:30,4296.453789
438.34049,19-10-2020 05:30,4282.91849
443.9361591,20-10-2020 05:30,4288.514159
442.312662,21-10-2020 05:30,4286.890662
434.203781,22-10-2020 05:30,4278.781781
426.3742644,23-10-2020 05:30,4270.952264
392.8111068,26-10-2020 05:30,4237.389107
409.1657844,27-10-2020 05:30,4253.743784
387.8797718,28-10-2020 05:30,4232.457772
397.7209903,29-10-2020 05:30,4242.29899
395.3824128,30-10-2020 05:30,4239.960413
375.867725,02-11-2020 05:30,4220.445725
392.6664623,03-11-2020 05:30,4237.244462
403.9712587,04-11-2020 05:30,4248.549259
434.8910137,05-11-2020 05:30,4279.469014
445.0570658,06-11-2020 05:30,4289.635066
472.6537815,09-11-2020 05:30,4317.231782
406.9632785,10-11-2020 05:30,4251.541278
446.831435,11-11-2020 05:30,4291.409435
467.9068684,12-11-2020 05:30,4312.484868
506.3731276,13-11-2020 05:30,4350.951128
524.032566,14-11-2020 05:30,4368.610566
519.6621767,17-11-2020 05:30,4364.240177
520.3521966,18-11-2020 05:30,4364.930197
489.0536601,19-11-2020 05:30,4333.63166
505.866303,20-11-2020 05:30,4350.444303
573.0117622,23-11-2020 05:30,4417.589762
579.0359204,24-11-2020 05:30,4423.61392
537.7767128,25-11-2020 05:30,4382.354713
565.6620362,26-11-2020 05:30,4410.240036
622.2447671,27-11-2020 05:30,4466.822767
630.7420625,01-12-2020 05:30,4475.320062
640.0158875,02-12-2020 05:30,4484.593888
651.5648733,03-12-2020 05:30,4496.142873
672.846298,04-12-2020 05:30,4517.424298
698.6988586,07-12-2020 05:30,4543.276859
684.9507804,08-12-2020 05:30,4529.52878
696.6569979,09-12-2020 05:30,4541.234998
720.3787088,10-12-2020 05:30,4564.956709
721.531522,11-12-2020 05:30,4566.109522
724.2287499,14-12-2020 05:30,4568.80675
729.2606682,15-12-2020 05:30,4573.838668
752.4708014,16-12-2020 05:30,4597.048801
756.2953737,17-12-2020 05:30,4600.873374
750.1444358,18-12-2020 05:30,4594.722436
636.0213767,21-12-2020 05:30,4480.599377
689.7841448,22-12-2020 05:30,4534.362145
734.1487882,23-12-2020 05:30,4578.726788
740.7733479,24-12-2020 05:30,4585.351348
743.1504891,28-12-2020 05:30,4587.728489
737.1311054,29-12-2020 05:30,4581.709105
0,01-01-2021 05:30,4581.709
26.81281403,04-01-2021 05:30,4608.521814
47.42646493,05-01-2021 05:30,4629.135465
45.31034651,06-01-2021 05:30,4627.019347
55.23445029,07-01-2021 05:30,4636.94345
44.25586645,08-01-2021 05:30,4625.964866
24.92665383,11-01-2021 05:30,4606.635654
23.29024136,12-01-2021 05:30,4604.999241
-4.161246277,13-01-2021 05:30,4577.547754
-14.49067393,14-01-2021 05:30,4567.218326
-35.82617304,15-01-2021 05:30,4545.882827
-68.19301971,18-01-2021 05:30,4513.51598
-49.58148651,19-01-2021 05:30,4532.127513
-50.85794558,20-01-2021 05:30,4530.851054
-80.29145861,21-01-2021 05:30,4501.417541
-100.545943,22-01-2021 05:30,4481.163057
-119.4595009,25-01-2021 05:30,4462.249499
-148.7534226,27-01-2021 05:30,4432.955577
-165.9002961,28-01-2021 05:30,4415.808704
-166.7375361,29-01-2021 05:30,4414.971464
-139.7921213,01-02-2021 05:30,4441.916879
-101.5097668,02-02-2021 05:30,4480.199233
-82.80408851,03-02-2021 05:30,4498.904911
-64.31963216,04-02-2021 05:30,4517.389368
-67.69202333,05-02-2021 05:30,4514.016977
-36.67636881,08-02-2021 05:30,4545.032631
-48.80380033,09-02-2021 05:30,4532.9052
-57.61905051,10-02-2021 05:30,4524.089949
-35.28212128,11-02-2021 05:30,4546.426879
-31.08659632,12-02-2021 05:30,4550.622404
-12.73770875,15-02-2021 05:30,4568.971291
-10.97648179,16-02-2021 05:30,4570.732518
-34.19172224,17-02-2021 05:30,4547.517278
-27.23908905,18-02-2021 05:30,4554.469911
-46.74997535,19-02-2021 05:30,4534.959025
-46.33288445,22-02-2021 05:30,4535.376116
-40.0628526,23-02-2021 05:30,4541.646147
-21.51913146,24-02-2021 05:30,4560.189869
11.21629874,25-02-2021 05:30,4592.925299
3.353291061,26-02-2021 05:30,4585.062291
48.15802507,01-03-2021 05:30,4629.867025
93.9457425,02-03-2021 05:30,4675.654742
103.2023511,03-03-2021 05:30,4684.911351
123.8151616,04-03-2021 05:30,4705.524162
86.04461899,05-03-2021 05:30,4667.753619
125.3972746,08-03-2021 05:30,4707.106275
100.2249576,09-03-2021 05:30,4681.933958
93.4790532,10-03-2021 05:30,4675.188053
100.3527436,12-03-2021 05:30,4682.061744
78.66932196,15-03-2021 05:30,4660.378322
84.04116185,16-03-2021 05:30,4665.750162
7.441164795,17-03-2021 05:30,4589.150165
-56.4186129,18-03-2021 05:30,4525.290387
-46.55406081,19-03-2021 05:30,4535.154939
-41.92892848,22-03-2021 05:30,4539.780072
-17.32043237,23-03-2021 05:30,4564.388568
-28.43763116,24-03-2021 05:30,4553.271369
-84.0968092,25-03-2021 05:30,4497.612191
-71.38995536,26-03-2021 05:30,4510.319045
-69.495532,30-03-2021 05:30,4512.213468
-60.87619325,31-03-2021 05:30,4520.832807
-10.1597486,01-04-2021 05:30,4571.549251
-12.09544514,05-04-2021 05:30,4569.613555
6.080784369,06-04-2021 05:30,4587.789784
45.87714604,07-04-2021 05:30,4627.586146
97.38318875,08-04-2021 05:30,4679.092189
130.1492008,09-04-2021 05:30,4711.858201
40.63930097,12-04-2021 05:30,4622.348301
86.11331891,13-04-2021 05:30,4667.822319
46.86013959,15-04-2021 05:30,4628.56914
59.10835822,16-04-2021 05:30,4640.817358
20.06971151,19-04-2021 05:30,4601.778712
38.97543643,20-04-2021 05:30,4620.684436
59.59805582,22-04-2021 05:30,4641.307056
66.20495055,23-04-2021 05:30,4647.913951
83.64526507,26-04-2021 05:30,4665.354265
115.5746677,27-04-2021 05:30,4697.283668
120.2466845,28-04-2021 05:30,4701.955685
116.077125,29-04-2021 05:30,4697.786125
120.3803212,30-04-2021 05:30,4702.089321
162.0316205,03-05-2021 05:30,4743.740621
141.0960962,04-05-2021 05:30,4722.805096
173.9146253,05-05-2021 05:30,4755.623625
195.2189571,06-05-2021 05:30,4776.927957
215.7837025,07-05-2021 05:30,4797.492702
256.814667,10-05-2021 05:30,4838.523667
275.0196889,11-05-2021 05:30,4856.728689
259.3271323,12-05-2021 05:30,4841.036132
247.4936833,14-05-2021 05:30,4829.202683
252.1862187,17-05-2021 05:30,4833.895219
251.6052316,18-05-2021 05:30,4833.314232
278.3141798,19-05-2021 05:30,4860.02318
282.7279143,20-05-2021 05:30,4864.436914
291.6925449,21-05-2021 05:30,4873.401545
299.6558303,24-05-2021 05:30,4881.36483
300.157809,25-05-2021 05:30,4881.866809
349.8588818,26-05-2021 05:30,4931.567882
336.2100175,27-05-2021 05:30,4917.919017
309.7850989,28-05-2021 05:30,4891.494099
320.8239641,31-05-2021 05:30,4902.532964
308.3387716,01-06-2021 05:30,4890.047772
335.3529325,02-06-2021 05:30,4917.061933
383.8095266,03-06-2021 05:30,4965.518527
432.250803,04-06-2021 05:30,5013.959803
464.1887412,07-06-2021 05:30,5045.897741
506.6557925,08-06-2021 05:30,5088.364792
514.0875487,09-06-2021 05:30,5095.796549
572.3432914,10-06-2021 05:30,5154.052291
587.394134,11-06-2021 05:30,5169.103134
631.1628948,14-06-2021 05:30,5212.871895
626.2921568,15-06-2021 05:30,5208.001157
625.2664393,16-06-2021 05:30,5206.975439
594.7777016,17-06-2021 05:30,5176.486702
563.9082909,18-06-2021 05:30,5145.617291
595.5413506,21-06-2021 05:30,5177.250351
