daily_pnl,date,cum_daily_pnl,result
325.0805991,27-09-2017 05:30,3665.412599,66.66666667
342.5703042,28-09-2017 05:30,3682.902304,67.13719601
341.1189192,29-09-2017 05:30,3681.450919,66.60075919
354.8443583,03-10-2017 05:30,3695.176358,68.46285404
414.8830137,04-10-2017 05:30,3755.215014,69.6483544
443.6697278,05-10-2017 05:30,3784.001728,70.70621115
480.9804267,06-10-2017 05:30,3821.312427,70.76627873
522.0273934,09-10-2017 05:30,3862.359393,70.3725024
594.5886427,10-10-2017 05:30,3934.920643,69.29962875
567.7943711,11-10-2017 05:30,3908.126371,69.93868102
596.9279828,12-10-2017 05:30,3937.259983,70.31994327
604.2449204,13-10-2017 05:30,3944.57692,71.78242189
619.2584999,16-10-2017 05:30,3959.5905,72.59083135
640.1637864,17-10-2017 05:30,3980.495786,72.24460852
657.0641713,18-10-2017 05:30,3997.396171,72.92203729
671.1627172,19-10-2017 05:30,4011.494717,72.44900513
690.024608,23-10-2017 05:30,4030.356608,74.20431319
712.3975601,24-10-2017 05:30,4052.72956,73.92566637
692.6035595,25-10-2017 05:30,4032.935559,74.40453844
678.5122821,26-10-2017 05:30,4018.844282,74.39285863
692.9283282,27-10-2017 05:30,4033.260328,72.69678388
714.4205629,30-10-2017 05:30,4054.752563,71.91256831
720.8552863,31-10-2017 05:30,4061.187286,72.00934385
750.7245257,01-11-2017 05:30,4091.056526,72.22291745
803.8478109,02-11-2017 05:30,4144.179811,70.60776707
822.1326694,03-11-2017 05:30,4162.464669,69.96788053
839.2458203,06-11-2017 05:30,4179.57782,68.82409377
821.4392267,07-11-2017 05:30,4161.771227,70.43757561
818.3269612,08-11-2017 05:30,4158.658961,71.586368
852.9753403,09-11-2017 05:30,4193.30734,71.83915238
875.5784781,10-11-2017 05:30,4215.910478,72.30884745
916.0470982,13-11-2017 05:30,4256.379098,72.5658032
916.4255275,14-11-2017 05:30,4256.757527,72.67342427
828.9963157,15-11-2017 05:30,4169.328316,73.35669295
905.5698357,16-11-2017 05:30,4245.901836,73.52104451
971.9593936,17-11-2017 05:30,4312.291394,73.03216118
949.6441463,20-11-2017 05:30,4289.976146,72.88282651
923.2368772,21-11-2017 05:30,4263.568877,70.63446377
925.5397993,22-11-2017 05:30,4265.871799,68.88666416
887.1064098,23-11-2017 05:30,4227.43841,68.98594252
860.748846,24-11-2017 05:30,4201.080846,68.82743086
887.8501809,27-11-2017 05:30,4228.182181,67.59020565
910.9471977,28-11-2017 05:30,4251.279198,69.63584032
887.2373193,29-11-2017 05:30,4227.569319,71.28686439
871.3987822,30-11-2017 05:30,4211.730782,72.23126017
848.4981727,01-12-2017 05:30,4188.830173,70.86138573
829.2130901,04-12-2017 05:30,4169.54509,70.07383306
818.6652533,05-12-2017 05:30,4158.997253,71.06077671
789.6742514,06-12-2017 05:30,4130.006251,72.41479998
834.7275518,07-12-2017 05:30,4175.059552,73.34084178
861.9820974,08-12-2017 05:30,4202.314097,74.58307262
849.3786113,11-12-2017 05:30,4189.710611,74.26604931
809.9396525,12-12-2017 05:30,4150.271653,74.2009761
784.7195879,13-12-2017 05:30,4125.051588,75.08029867
733.5396046,14-12-2017 05:30,4073.871605,75.72268802
806.7589358,15-12-2017 05:30,4147.090936,75.04275643
815.381045,18-12-2017 05:30,4155.713045,74.82834856
836.1186067,19-12-2017 05:30,4176.450607,75.70933967
915.787286,20-12-2017 05:30,4256.119286,74.12172027
996.7670377,21-12-2017 05:30,4337.099038,74.23267843
1019.289753,22-12-2017 05:30,4359.621753,74.24936387
987.594476,26-12-2017 05:30,4327.926476,75.27718684
932.7714738,27-12-2017 05:30,4273.103474,76.17903475
939.1613213,28-12-2017 05:30,4279.493321,77.25941684
941.3828463,29-12-2017 05:30,4281.714846,77.48300171
0,01-01-2018 05:30,4281.715,77.40291161
15.86710494,02-01-2018 05:30,4297.582105,77.71993493
34.33293146,03-01-2018 05:30,4316.047931,78.22133233
50.86411168,04-01-2018 05:30,4332.579112,79.22746423
56.47754635,05-01-2018 05:30,4338.192546,78.54169274
95.37119572,08-01-2018 05:30,4377.086196,80.01167981
101.341471,09-01-2018 05:30,4383.056471,80.48638051
99.51528367,10-01-2018 05:30,4381.230284,81.78283903
127.9325833,11-01-2018 05:30,4409.647583,82.97584783
120.6030109,12-01-2018 05:30,4402.318011,84.93638677
134.1053839,15-01-2018 05:30,4415.820384,84.97476328
71.28912999,16-01-2018 05:30,4353.00413,84.70195637
75.21905977,17-01-2018 05:30,4356.93406,85.71559671
27.28928223,18-01-2018 05:30,4309.004282,84.36824761
